nodeName	altName	nodeAttr.nodesPresent...
argW_b2348_14	argW_b2348_14	lightyellow
argX_b3796_15	argX_b3796_15	turquoise
ariR_b1166_15	ariR_b1166_15	brown
arnA_b2255_14	arnA_b2255_14	ivory
arnB_b2253_15	arnB_b2253_15	ivory
arnC_b2254_15	arnC_b2254_15	ivory
arnD_b2256_15	arnD_b2256_15	ivory
arnE_b4544_14	arnE_b4544_14	black
arnF_b2258_15	arnF_b2258_15	lightgreen
arnT_b2257_15	arnT_b2257_15	ivory
aroA_b0908_15	aroA_b0908_15	green
aroB_b3389_14	aroB_b3389_14	turquoise
aroC_b2329_14	aroC_b2329_14	turquoise
aroD_b1693_15	aroD_b1693_15	green
aroE_b3281_15	aroE_b3281_15	lightcoral
aroF_b2601_14	aroF_b2601_14	green
aroG_b0754_15	aroG_b0754_15	green
aroH_b1704_15	aroH_b1704_15	green
aroK_b3390_14	aroK_b3390_14	turquoise
aroL_b0388_15	aroL_b0388_15	green
aroM_b0390_15	aroM_b0390_15	black
aroP_b0112_14	aroP_b0112_14	green
arpA_b4017_15	arpA_b4017_15	yellow
arpB_b4494_30	arpB_b4494_30	blue
arrD_b0555_15	arrD_b0555_15	plum1
arrQ_b1554_15	arrQ_b1554_15	magenta
arsB_b3502_15	arsB_b3502_15	black
arsC_b3503_15	arsC_b3503_15	red
arsR_b3501_15	arsR_b3501_15	red
artI_b0863_14	artI_b0863_14	darkseagreen3
artJ_b0860_14	artJ_b0860_14	green
artM_b0861_14	artM_b0861_14	darkseagreen3
artP_b0864_15	artP_b0864_15	darkseagreen3
artQ_b0862_14	artQ_b0862_14	darkseagreen3
ascB_b2716_15	ascB_b2716_15	black
ascF_b2715_15	ascF_b2715_15	red
ascG_b2714_14	ascG_b2714_14	black
asd_b3433_14	asd_b3433_14	green
aslA_b3801_14	aslA_b3801_14	yellow
aslB_b3800_15	aslB_b3800_15	yellow
asmA_b2064_15	asmA_b2064_15	yellow
asnA_b3744_15	asnA_b3744_15	lightyellow
asnB_b0674_14	asnB_b0674_14	green
asnC_b3743_14	asnC_b3743_14	lightgreen
asnS_b0930_14	asnS_b0930_14	pink
aspA_b4139_15	aspA_b4139_15	saddlebrown
aspC_b0928_14	aspC_b0928_14	green
aspS_b1866_15	aspS_b1866_15	turquoise
asr_b1597_15	asr_b1597_15	turquoise
astA_b1747_14	astA_b1747_14	brown
astB_b1745_15	astB_b1745_15	brown
astC_b1748_14	astC_b1748_14	brown
astD_b1746_14	astD_b1746_14	brown
astE_b1744_15	astE_b1744_15	brown
atoA_b2222_14	atoA_b2222_14	red
atoB_b2224_15	atoB_b2224_15	blue
atoC_b2220_15	atoC_b2220_15	blue
atoD_b2221_15	atoD_b2221_15	turquoise
atoE_b2223_15	atoE_b2223_15	turquoise
atoS_b2219_14	atoS_b2219_14	turquoise
atpA_b3734_14	atpA_b3734_14	turquoise
atpB_b3738_14	atpB_b3738_14	turquoise
atpC_b3731_15	atpC_b3731_15	turquoise
atpD_b3732_15	atpD_b3732_15	turquoise
atpE_b3737_14	atpE_b3737_14	turquoise
atpF_b3736_14	atpF_b3736_14	turquoise
atpG_b3733_15	atpG_b3733_15	turquoise
atpH_b3735_14	atpH_b3735_14	turquoise
atpI_b3739_15	atpI_b3739_15	turquoise
avtA_b3572_15	avtA_b3572_15	turquoise
azoR_b1412_14	azoR_b1412_14	green
bacA_b3057_14	bacA_b3057_14	turquoise
baeR_b2079_15	baeR_b2079_15	green
baeS_b2078_15	baeS_b2078_15	black
bamA_b0177_15	bamA_b0177_15	turquoise
bamB_b2512_15	bamB_b2512_15	turquoise
bamC_b2477_14	bamC_b2477_14	turquoise
bamD_b2595_15	bamD_b2595_15	turquoise
barA_b2786_15	barA_b2786_15	yellow
basR_b4113_14	basR_b4113_14	ivory
basS_b4112_14	basS_b4112_14	ivory
bax_b3570_13	bax_b3570_13	turquoise
bcp_b2480_15	bcp_b2480_15	turquoise
bcr_b2182_15	bcr_b2182_15	turquoise
bcsA_b3533_14	bcsA_b3533_14	red
bcsB_b3532_15	bcsB_b3532_15	red
bcsC_b3530_14	bcsC_b3530_14	brown
bcsE_b3536_15	bcsE_b3536_15	turquoise
bcsF_b3537_15	bcsF_b3537_15	turquoise
bcsG_b3538_15	bcsG_b3538_15	magenta
bcsZ_b3531_14	bcsZ_b3531_14	black
bdm_b1481_12	bdm_b1481_12	brown
betA_b0311_14	betA_b0311_14	magenta4
betB_b0312_14	betB_b0312_14	magenta4
betI_b0313_15	betI_b0313_15	magenta4
betT_b0314_15	betT_b0314_15	magenta4
bfd_b3337_15	bfd_b3337_15	lightcyan1
bfr_b3336_14	bfr_b3336_14	brown
bglA_b2901_15	bglA_b2901_15	turquoise
bglB_b3721_15	bglB_b3721_15	yellow
bglF_b3722_14	bglF_b3722_14	yellow
bglG_b3723_14	bglG_b3723_14	yellow
bglH_b3720_14	bglH_b3720_14	yellow
bglJ_b4366_15	bglJ_b4366_15	midnightblue
bglX_b2132_15	bglX_b2132_15	pink
bhsA_b1112_15	bhsA_b1112_15	purple
bioA_b0774_15	bioA_b0774_15	black
bioB_b0775_71	bioB_b0775_71	lavenderblush2
bioC_b0777_52	bioC_b0777_52	lavenderblush2
bioD_b0778_54	bioD_b0778_54	lavenderblush2
bioF_b0776_14	bioF_b0776_14	lavenderblush2
bioH_b3412_15	bioH_b3412_15	brown
birA_b3973_15	birA_b3973_15	paleturquoise
bisC_b3551_23	bisC_b3551_23	turquoise
blc_b4149_15	blc_b4149_15	brown
blr_b4409_5	blr_b4409_5	turquoise
bolA_b0435_14	bolA_b0435_14	brown
borD_b0557_14	borD_b0557_14	turquoise
brnQ_b0401_15	brnQ_b0401_15	green
bssR_b0836_15	bssR_b0836_15	turquoise
bssS_b1060_15	bssS_b1060_15	purple
btuB_b3966_14	btuB_b3966_14	turquoise
btuC_b1711_15	btuC_b1711_15	turquoise
btuD_b1709_15	btuD_b1709_15	brown
btuE_b1710_14	btuE_b1710_14	brown
btuF_b0158_14	btuF_b0158_14	turquoise
btuR_b1270_15	btuR_b1270_15	blue
cadA_b4131_15	cadA_b4131_15	lightsteelblue1
cadB_b4132_14	cadB_b4132_14	lightsteelblue1
cadC_b4133_14	cadC_b4133_14	yellow
